placeid,placename,placepop1930,placepop2010,lat,lon
G08000760,Aguilar town,1383,538.0,37.40279309980092,-104.65331880052683
G08000925,Akron town,1135,1702.0,40.16053729985122,-103.21438430025357
G08001090,Alamosa city,5107,8780.0,37.46944910023781,-105.87002149948407
G08001530,Alma town,110,270.0,39.28387829987078,-106.06279669980697
G08002208,Animas City town,457,0.0,37.301031785599704,-107.86682692382779
G08002355,Antonito town,858,781.0,37.079179000281876,-106.00863289964536
G08003235,Arriba town,337,193.0,39.28609969976845,-103.27549549968086
G08003455,Arvada city,1276,106433.0,39.80276440042044,-105.08748419975593
G08003620,Aspen city,705,6658.0,39.191098300403496,-106.81753869954315
G08003950,Ault town,737,1519.0,40.58248040018677,-104.73191119944639
G08004000,Fletcher town,2295,325078.0,39.72943189963256,-104.83191949993684
G08004935,Basalt town,148,3857.0,39.36887309987448,-107.03282419988888
G08005265,Bayfield town,277,2333.0,37.22555930027495,-107.59811230015514
G08006090,Bennett town,211,2308.0,39.758873600316306,-104.42746100021107
G08006530,Bethune town,97,237.0,39.30416240010595,-102.42463949985161
G08007025,Black Hawk city,253,118.0,39.796932199737036,-105.49388529941237
G08007190,Blanca town,252,385.0,37.4380633002737,-105.51584599956135
G08007571,Bonanza town,445,16.0,38.29472160025321,-106.14224250007537
G08007850,Boulder city,11223,97385.0,40.01498560019351,-105.27054559968353
G08008345,Branson town,237,74.0,37.01752269992122,-103.88440829982248
G08008400,Breckenridge town,436,4540.0,39.48165369987768,-106.03835180046286
G08008675,Brighton city,3394,33352.0,39.98526169976095,-104.82052830001003
G08009115,Brookside town,198,233.0,38.41527649976888,-105.19193360030059
G08009555,Brush city,2312,5463.0,40.25886860034442,-103.62383669991145
G08010105,Buena Vista town,751,2617.0,38.842217800259064,-106.13112880014123
G08010600,Burlington city,1280,4254.0,39.30610820024102,-102.2693562998041
G08011260,Calhan town,399,780.0,39.035545900382076,-104.2971859996136
G08011810,Ca̱on City city,5938,16400.0,38.44098499991025,-105.242447000472
G08012045,Carbondale town,283,6427.0,39.40220539960163,-107.21116280021438
G08012415,Castle Rock town,478,48231.0,39.37221210005189,-104.85609020043887
G08012635,Cedaredge town,463,2253.0,38.901648699541454,-107.92645400041926
G08012855,Center town,1011,2230.0,37.7530562998066,-106.1086379002178
G08012910,Central City city,572,663.0,39.80193219976319,-105.5141639002699
G08013460,Cheraw town,293,252.0,38.10695149994212,-103.5102184001158
G08014175,Cheyenne Wells town,595,846.0,38.8213951001812,-102.35324349943959
G08015330,Coal Creek town,435,343.0,38.36111120047853,-105.14832219955134
G08015605,Collbran town,341,708.0,39.240534300146905,-107.96118079992942
G08016000,Colorado Springs city,33237,416427.0,38.83388160030559,-104.82136340057117
G08017375,Cortez city,921,8482.0,37.348882699823335,-108.58592649989903
G08017760,Craig city,1418,9464.0,40.5152491000384,-107.54645410027904
G08017925,Crawford town,157,431.0,38.70387669990242,-107.60894660045385
G08018310,Crested Butte town,1251,1487.0,38.869714599944444,-106.98782320020473
G08018420,Crestone town,86,127.0,37.9963880998003,-105.6997332004473
G08018530,Cripple Creek city,1427,1189.0,38.74665549984125,-105.17831490047408
G08018640,Crook town,251,110.0,40.85887989978649,-102.80102639991786
G08018750,Crowley town,323,176.0,38.193060699716675,-103.85606459986029
G08019080,Dacono city,275,4152.0,40.08470619970578,-104.9394215996116
G08019355,De Beque town,347,504.0,39.33442329960669,-108.21508160010318
G08019630,Deer Trail town,390,546.0,39.61498209997892,-104.0444033005284
G08019795,Del Norte town,1410,1686.0,37.67889189957279,-106.35336840046793
G08019850,Delta city,2938,8915.0,38.742206200306285,-108.06895819995476
G08020000,Denver city,287861,600158.0,39.73915359965694,-104.9847033997117
G08020440,Dillon town,92,904.0,39.63026430003553,-106.04335179948077
G08020770,Dolores town,557,936.0,37.47388179987598,-108.50453559960141
G08022035,Durango city,5400,16887.0,37.275280000038016,-107.88006669993902
G08022145,Eads town,518,609.0,38.48056149992314,-102.78186289957901
G08022200,Eagle town,341,6508.0,39.655263500375746,-106.82865069959529
G08022400,East Canon,595,0.0,38.45277569936486,-105.21304459922136
G08022860,Eaton town,1221,4365.0,40.53025819992368,-104.71135420039079
G08023025,Eckley town,359,257.0,40.113877200023616,-102.49075759949818
G08023135,Edgewater city,1473,5170.0,39.75304250032238,-105.06415029995927
G08023575,Eldora CDP,16,142.0,39.94859810019485,-105.56388860025139
G08023740,Elizabeth town,266,1358.0,39.36026619988825,-104.59691500024722
G08024620,Empire town,93,282.0,39.76137629962238,-105.68444789974926
G08024785,Englewood city,7980,30255.0,39.64776529973961,-104.98775969966643
G08024950,Erie town,930,18135.0,40.05026230005769,-105.04998170029343
G08025115,Estes Park town,417,5858.0,40.37720589970411,-105.52166510010073
G08025280,Evans city,540,18537.0,40.3763701001403,-104.69218739965356
G08025610,Fairplay town,221,679.0,39.22471260030977,-106.00196180057773
G08026600,Firestone town,240,10147.0,40.11248389959089,-104.93664360045612
G08026765,Flagler town,540,561.0,39.293046299907665,-103.06715819999134
G08026875,Fleming town,365,408.0,40.67999140012597,-102.83936270035458
G08027040,Florence city,2475,3881.0,38.390277699921555,-105.11859880023916
G08027095,Florissant CDP,26,104.0,38.94582489990294,-105.28943579951749
G08027425,Fort Collins city,11489,143986.0,40.58526019992406,-105.08442299993621
G08027700,Fort Lupton city,1578,7377.0,40.084705499869706,-104.81302750003601
G08027810,Fort Morgan city,4423,11315.0,40.25025819999715,-103.7999510000581
G08027865,Fountain city,577,25846.0,38.68221899974871,-104.70080560040532
G08027975,Fowler town,968,1182.0,38.12917210003339,-104.02329339975643
G08028360,Frederick town,596,8679.0,40.09915060023688,-104.93719930050446
G08028690,Frisco town,18,2683.0,39.57443090042957,-106.09752039949605
G08028745,Fruita city,1053,12646.0,39.15886960035897,-108.72898820047848
G08029680,Genoa town,218,139.0,39.278320800300115,-103.50022389967302
G08029735,Georgetown town,303,1034.0,39.70609839985741,-105.69750409991522
G08029955,Gilcrest town,324,1034.0,40.28192660016704,-104.77774720018986
G08030780,Glenwood Springs city,1825,9614.0,39.55053760026061,-107.32477619981013
G08030835,Golden city,2426,18867.0,39.75554300045421,-105.22109969967914
G08030890,Goldfield CDP,159,49.0,38.71776689970792,-105.12609099946953
G08031550,Granada town,352,517.0,38.06389820009608,-102.3104673998639
G08031605,Granby town,90,1864.0,40.08609700015091,-105.93945969964524
G08031660,Grand Junction city,10247,58566.0,39.063870500164526,-108.55064859975748
G08032155,Greeley city,12203,92889.0,40.423314199752824,-104.70913220047234
G08032650,Green Mountain Falls town,41,640.0,38.93499049977877,-105.01692630031405
G08033310,Grover town,165,137.0,40.8713728998959,-104.2252275000535
G08033420,Guffey CDP,38,98.0,38.751104099662086,-105.52138399973083
G08033640,Gunnison city,1415,5854.0,38.54582460044912,-106.92532069994934
G08033695,Gypsum town,165,6477.0,39.646929500371364,-106.95171089988659
G08034520,Hartman town,269,81.0,38.120287899838345,-102.21991040005624
G08034603,Hastings,307,0.0,37.341586389733926,-104.62971634530273
G08034740,Haswell town,156,68.0,38.45222550001284,-103.1629839999355
G08034960,Haxtun town,1027,946.0,40.64110220040551,-102.62685839956302
G08035070,Hayden town,554,1810.0,40.49528700040073,-107.25728800029172
G08036610,Hillrose town,210,264.0,40.325812900378466,-103.5218889996229
G08037215,Holly town,971,802.0,38.05223369982111,-102.12268499950798
G08037270,Holyoke city,1226,2313.0,40.58443690027599,-102.3024102999129
G08037380,Hooper town,155,103.0,37.74277759985634,-105.8752987001726
G08037545,Hotchkiss town,541,944.0,38.79970700007225,-107.71950320051424
G08037600,Hot Sulphur Springs town,142,663.0,40.0730411002517,-106.10279910047385
G08037820,Hudson town,346,2356.0,40.07359410011501,-104.64301990053322
G08037875,Hugo town,712,730.0,39.136100400390625,-103.46994470039044
G08038370,Idaho Springs city,1207,1717.0,39.742488100238475,-105.51360820029466
G08038535,Ignacio town,464,697.0,37.11500370019581,-107.63311299991932
G08038590,Iliff town,266,266.0,40.7591560000931,-103.06658940026988
G08038960,Irondale,139,0.0,39.84943030033795,-104.89719909994344
G08039010,Ironton,9,0.0,37.932772699585385,-107.68033829990168
G08039195,Jamestown town,69,274.0,40.11554119995968,-105.38860509979258
G08039855,Johnstown town,767,9887.0,40.33692720019248,-104.91219669996885
G08039965,Julesburg town,1467,1225.0,40.98832580008921,-102.26435189943294
G08040185,Keenesburg town,297,1127.0,40.10831580014126,-104.51995850032854
G08040405,Keota town,108,0.0,40.7027641997897,-104.07522629965153
G08040515,Kersey town,307,1454.0,40.387481000231595,-104.56162560045802
G08040790,Kiowa town,185,723.0,39.34720950031385,-104.46441120048127
G08041395,Kokomo,44,0.0,39.424154199745594,-106.18974520018784
G08041560,Kremmling town,261,1444.0,40.05887440030944,-106.3889199002546
G08041835,Lafayette city,1842,24453.0,39.99359590018883,-105.08970580039153
G08042055,La Jara town,602,818.0,37.27500840021607,-105.96030100007461
G08042110,La Junta city,7193,7077.0,37.98500909985468,-103.54383210029675
G08042330,Lake City town,259,408.0,38.029996700146825,-107.315333500019
G08042495,Lakeside town,49,8.0,39.77831999971266,-105.0594278997888
G08043110,Lamar city,4165,7804.0,38.08723069966529,-102.6207496002953
G08043605,La Salle town,564,1955.0,40.348870299839284,-104.70191019977447
G08043660,Las Animas city,2517,2410.0,38.06667349974948,-103.22270799968184
G08044100,La Veta town,782,800.0,37.505011799581325,-105.00777470040367
G08044320,Leadville city,3771,2602.0,39.250822900021035,-106.2925237995295
G08044980,Limon town,1100,1880.0,39.26387619998598,-103.69217369963637
G08045255,Littleton city,2019,41737.0,39.61332100003177,-105.01664979960722
G08045970,Longmont city,6029,86270.0,40.167206899828464,-105.10192750021247
G08046355,Louisville city,1681,18376.0,39.97776300001252,-105.13192959992872
G08046465,Loveland city,5506,66859.0,40.39776119990887,-105.07498009941673
G08047070,Lyons town,567,2033.0,40.224707499811664,-105.27137799967558
G08048060,Manassa town,953,991.0,37.174177799697716,-105.93752149941294
G08048115,Mancos town,646,1336.0,37.34499599988883,-108.28924869989639
G08048445,Manitou Springs city,1205,4992.0,38.85971269973663,-104.91719890003704
G08048500,Manzanola town,578,434.0,38.109450900234336,-103.8660658003552
G08048555,Marble town,217,131.0,39.07221059990695,-107.18893770039467
G08049600,Mead town,152,3405.0,40.23331739989142,-104.99859000002398
G08049875,Meeker town,1069,2475.0,40.03747329970077,-107.91312989954857
G08050040,Merino town,230,284.0,40.48248239962606,-103.3513278995105
G08050480,Milliken town,483,5610.0,40.32942679967447,-104.85525000034019
G08050920,Minturn town,400,1027.0,39.586374900462545,-106.43086309955093
G08051635,Monte Vista city,2610,4444.0,37.57916960020421,-106.14808429991405
G08051690,Montezuma town,38,65.0,39.58109800035782,-105.86723380010683
G08051745,Montrose city,3566,19132.0,38.47831980010105,-107.87617380006208
G08051800,Monument town,192,5530.0,39.09165860002174,-104.87275799949872
G08052075,Morrison town,177,428.0,39.653598800056,-105.19109960052631
G08052350,Mountain View town,644,507.0,39.77443109986036,-105.0555389002429
G08053175,Nederland town,284,1445.0,39.961375900061434,-105.51083119997733
G08053395,New Castle town,470,4518.0,39.57275849977054,-107.53644429950134
G08054880,Norwood town,299,518.0,38.130546099612786,-108.29230370022856
G08054935,Nucla town,221,711.0,38.26943470012974,-108.54786909964393
G08055045,Nunn town,196,416.0,40.70359169990033,-104.78080240014665
G08055155,Oak Creek town,1211,884.0,40.27498059980234,-106.95838290049083
G08055540,Olathe town,593,1849.0,38.60498540044039,-107.98228839950471
G08055705,Olney Springs town,228,345.0,38.166116199747016,-103.9446792001496
G08056145,Ordway town,1139,1080.0,38.21806080025835,-103.75606059946193
G08056365,Otis town,529,475.0,40.14887220001726,-102.96299270005561
G08056420,Ouray city,707,1000.0,38.02277159973157,-107.6714486996417
G08056475,Ovid town,649,318.0,40.96054740010923,-102.38796469989569
G08056860,Pagosa Springs town,804,1727.0,37.26945000035703,-107.00976170031704
G08056970,Palisade town,851,2692.0,39.1102588001742,-108.35091930023489
G08057025,Palmer Lake town,244,2420.0,39.122213800126914,-104.91720400031267
G08057300,Paonia town,958,1451.0,38.86832039967945,-107.59200170028883
G08057400,Grand Valley,209,1085.0,39.45192250013125,-108.05285289996795
G08058235,Peetz town,244,238.0,40.962764199649975,-103.11242410034329
G08059005,Pierce town,281,834.0,40.635535999638684,-104.75524579936986
G08059830,Pitkin town,228,66.0,38.60916120038271,-106.51669579955417
G08060160,Platteville town,533,2485.0,40.214982900337304,-104.8227494004855
G08060600,Poncha Springs town,80,737.0,38.512775199957495,-106.07723839978861
G08060765,Portland,16,135.0,38.081381399818625,-107.70144860036864
G08061315,Pritchett town,451,140.0,37.370293399733825,-102.85964629940601
G08061480,Prospect Heights town,138,0.0,38.42638700014745,-105.23749010048473
G08062000,Pueblo city,50096,106595.0,38.25444719962826,-104.60914100013684
G08062660,Ramah town,171,123.0,39.121655400040645,-104.16579400021047
G08062770,Ramona,105,0.0,38.85210192932098,-104.86679453927029
G08063265,Red Cliff town,544,267.0,39.512208299956654,-106.36808369971953
G08064090,Rico town,447,265.0,37.692772900042094,-108.03035020008313
G08064200,Ridgway town,239,924.0,38.152768500332556,-107.76172629981566
G08064255,Rifle city,1287,9172.0,39.5347023001188,-107.78311979966357
G08064970,Rockvale town,710,487.0,38.36972220021923,-105.16388890028549
G08065190,Rocky Ford city,3426,3957.0,38.05250800029671,-103.72022740011091
G08065740,Romeo town,188,404.0,37.17223270006518,-105.98530039947977
G08065970,Rosita,27,0.0,38.09722379987277,-105.33611000051734
G08067005,Saguache town,1010,485.0,38.08749999997092,-106.14196709979919
G08067091,St. Elmo,7,0.0,38.70471820019907,-106.3480796003078
G08067280,Salida city,5065,5236.0,38.534719300116244,-105.99890219971623
G08067830,Sanford town,597,879.0,37.258342600359725,-105.90474420044472
G08068930,Sedgwick town,444,146.0,40.93637990021713,-102.52546650015069
G08069040,Seibert town,273,181.0,39.29915909990245,-102.86909770000409
G08069645,Sheridan city,587,5664.0,39.646931899810184,-105.02526100015402
G08070195,Silt town,264,2930.0,39.54859169966893,-107.65617069948014
G08070250,Silver Cliff town,201,587.0,38.13527790043767,-105.44639019957826
G08070360,Silver Plume town,126,170.0,39.69609830022989,-105.72583860000908
G08070580,Silverton town,1301,637.0,37.81194100044778,-107.66450569982429
G08070635,Simla town,351,618.0,39.1416550997123,-104.08384790030641
G08072140,South Canon city,351,0.0,38.43213957233925,-105.23699183018512
G08073330,Springfield town,1393,1451.0,37.40834860012924,-102.61436159999293
G08073825,Steamboat Springs city,1198,12088.0,40.48497689965524,-106.83171580041999
G08073935,Sterling city,7195,14777.0,40.6255415004101,-103.207709000061
G08074485,Stratton town,507,658.0,39.30332759977345,-102.60464539993694
G08074815,Sugar City town,598,258.0,38.23194940000822,-103.66300109975906
G08075640,Superior town,160,12483.0,39.952763400274435,-105.16859770033977
G08075970,Swink town,418,617.0,38.01445299986244,-103.62827980017931
G08076795,Telluride town,512,2325.0,37.93749389992563,-107.81228519992486
G08077510,Timnath town,169,625.0,40.52914909994803,-104.98525329997773
G08078610,Trinidad city,11732,9096.0,37.169463199874066,-104.50054070048984
G08079270,Two Buttes town,158,43.0,37.56112439964981,-102.39768869947618
G08080865,Victor city,1291,397.0,38.70998959962127,-105.13998069989725
G08081690,Vona town,183,106.0,39.30360440026493,-102.74298310008204
G08082130,Walden town,284,608.0,40.73164330022585,-106.28363730050907
G08082350,Walsenburg city,5503,3068.0,37.62417929994365,-104.78026449981529
G08082460,Walsh town,454,546.0,37.38612710026433,-102.27823940054809
G08082735,Ward town,34,150.0,40.072208299601925,-105.50833159996989
G08083230,Wellington town,533,6289.0,40.703871200418824,-105.00858559961507
G08083450,Westcliffe town,335,568.0,38.13472199961292,-105.46583530025333
G08083835,Westminster city,436,106114.0,39.883163683545924,-105.06288927868161
G08085045,Wiley town,589,405.0,38.15417480006514,-102.71964030007875
G08085155,Williamsburg town,155,662.0,38.38194409980077,-105.15193309955335
G08086090,Woodland Park city,194,7200.0,38.993880799598045,-105.05693010024561
G08086310,Wray city,1785,2342.0,40.07582309984996,-102.22324950035538
G08086475,Yampa town,310,429.0,40.1524837004048,-106.90865820016926
G08086750,Yuma city,1360,3524.0,40.12220839985035,-102.72520959990729
G08006255,Berthoud town,811,5105.0,40.30831740027505,-105.08109240033495
G08014765,City of Creede town,384,290.0,37.84916619987084,-106.92643450013941
G08016605,Como city,80,0.0,39.31609979968212,-105.89279199944644
G08019713,Delagua city,1021,0.0,37.34001599961757,-104.66304229958132
G08025198,Eureka town,197,0.0,37.87971870002631,-107.56505939998743
G08053285,Nevadaville city,2,0.0,39.7952655995428,-105.53249780014274
G08055348,Ohio City town,72,0.0,38.566660199608286,-106.61169879968979
G08061040,Portland city,435,0.0,38.39111180019862,-105.02498519993262
G08063045,New Raymer,254,96.0,40.608041799636794,-103.84245009967796
G08085485,Windsor town,1852,18644.0,40.47748179969196,-104.90136170026621
